Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR12210269	SRR12210269.fastq	Conventional base calls	Sanger / Illumina 1.9	107270.0	0.0	5-491	52.0	3.4557658245548613	439.27637736552623	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210270	SRR12210270.fastq	Conventional base calls	Sanger / Illumina 1.9	96524.0	0.0	8-530	52.0	3.1018192366665285	441.868260743442	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210271	SRR12210271.fastq	Conventional base calls	Sanger / Illumina 1.9	94456.0	0.0	6-472	52.0	2.754721775218091	438.7291543152367	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210272	SRR12210272.fastq	Conventional base calls	Sanger / Illumina 1.9	93211.0	0.0	155-470	52.0	2.359163618027915	439.13250582012853	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210273	SRR12210273.fastq	Conventional base calls	Sanger / Illumina 1.9	92320.0	0.0	8-501	50.0	7.720970537261699	435.11965987868285	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210274	SRR12210274.fastq	Conventional base calls	Sanger / Illumina 1.9	89403.0	0.0	8-507	50.0	7.957227386105611	434.97032538058005	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210275	SRR12210275.fastq	Conventional base calls	Sanger / Illumina 1.9	94349.0	0.0	8-521	52.0	4.115570912251322	441.72289054467984	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR12210276	SRR12210276.fastq	Conventional base calls	Sanger / Illumina 1.9	98549.0	0.0	138-525	52.0	3.8214492283026718	439.00744807151773	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210277	SRR12210277.fastq	Conventional base calls	Sanger / Illumina 1.9	78926.0	0.0	8-471	52.0	4.214073942680486	439.54528292324454	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210278	SRR12210278.fastq	Conventional base calls	Sanger / Illumina 1.9	97128.0	0.0	3-516	52.0	2.8745572852318593	441.7851700848365	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210279	SRR12210279.fastq	Conventional base calls	Sanger / Illumina 1.9	99084.0	0.0	139-475	51.0	3.0580113842800047	439.5247971418191	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210280	SRR12210280.fastq	Conventional base calls	Sanger / Illumina 1.9	103642.0	0.0	154-518	51.0	2.8501958665405915	439.12668609251074	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210281	SRR12210281.fastq	Conventional base calls	Sanger / Illumina 1.9	70485.0	0.0	8-516	50.0	8.154926580123432	437.58138611052	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210282	SRR12210282.fastq	Conventional base calls	Sanger / Illumina 1.9	85433.0	0.0	8-506	52.0	12.413236103145154	432.2402467430618	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR12210283	SRR12210283.fastq	Conventional base calls	Sanger / Illumina 1.9	89179.0	0.0	8-523	52.0	13.404501059666513	437.51403357292634	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210284	SRR12210284.fastq	Conventional base calls	Sanger / Illumina 1.9	83385.0	0.0	8-530	52.0	12.09689992204833	436.98244288541105	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210285	SRR12210285.fastq	Conventional base calls	Sanger / Illumina 1.9	83575.0	0.0	8-475	51.0	2.347591983248579	439.3142566556985	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210286	SRR12210286.fastq	Conventional base calls	Sanger / Illumina 1.9	76250.0	0.0	151-507	51.0	2.379016393442623	438.89901639344265	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210287	SRR12210287.fastq	Conventional base calls	Sanger / Illumina 1.9	68636.0	0.0	151-496	51.0	2.7973658138586166	438.6734803893001	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210288	SRR12210288.fastq	Conventional base calls	Sanger / Illumina 1.9	71952.0	0.0	139-498	52.0	4.012397153657994	439.35885034467424	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210289	SRR12210289.fastq	Conventional base calls	Sanger / Illumina 1.9	88294.0	0.0	8-500	52.0	3.914195755090946	439.27188710444653	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210290	SRR12210290.fastq	Conventional base calls	Sanger / Illumina 1.9	75057.0	0.0	8-498	52.0	3.983639100949945	439.50848022169816	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210291	SRR12210291.fastq	Conventional base calls	Sanger / Illumina 1.9	71269.0	0.0	4-461	52.0	2.827316224445411	438.83417755265265	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210292	SRR12210292.fastq	Conventional base calls	Sanger / Illumina 1.9	81924.0	0.0	8-484	51.0	2.750109857917094	439.2004052536497	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
